id,weighted_cosine,fc_sim,bn_sim,logit_corr,agreement,noise_logit,loss_corr
122,0.34275475,0.005840957,0.29814062,0.7717495,0.54296875,0.7319871,0.24847603985177782
123,0.56976616,0.5001199,0.385378,1.0,1.0,1.0,0.9999999995761448
124,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125,0.41973302,0.14160776,0.32414252,0.8469653,0.78515625,0.68880373,0.43589587794803003
126,0.28173018,-0.07682723,0.18462911,0.2309845,0.1259765625,0.059019763,0.10381024491986625
127,0.2574486,-0.11251187,0.18143722,0.59416145,0.2939453125,0.4832744,0.16872190075836008
128,0.4408935,0.16129813,0.41828224,0.81870186,0.7783203125,0.5855168,0.41949229619266953
129,0.5684037,0.50013995,0.33754304,1.0,1.0,1.0,0.9999999991522893
130,0.5464074,0.44040674,0.42689753,0.862085,0.75927734375,0.64446837,0.227857696686936
131,0.33522567,-0.06214744,0.2911687,0.73817474,0.77978515625,0.2530256,0.18209227877094997
132,0.47234818,0.2684758,0.30030808,0.8242363,0.69873046875,0.5373266,0.15454530812271897
133,0.33083904,-0.07086229,0.39420778,0.86593854,0.6904296875,0.79426545,0.36353842512996104
134,0.27308345,-0.039060593,0.15068123,0.49900764,0.2236328125,0.6172594,0.15105870467276086
135,0.5430822,0.42084497,0.48658988,0.8620641,0.78564453125,0.37307072,0.32579480553824536
136,0.9785805,0.99999106,0.9991377,0.9944724,0.95849609375,0.9875816,0.9335927796574145
137,0.36302984,-0.014653355,0.44133273,0.8541973,0.68017578125,0.78451973,0.3970057175828664
138,1.0,1.0,1.0,1.0,1.0,1.0,1.0
139,0.27896985,-0.077234626,0.20895165,0.6781722,0.37353515625,0.6136007,0.19660212845248165
140,0.99473214,0.9963199,0.99779654,0.9692436,0.86865234375,0.9165273,0.5741240403404466
141,0.53339624,0.41959387,0.36800218,0.8692649,0.79931640625,0.42018285,0.36079193954068045
142,0.5284654,0.40178722,0.3749621,0.85647106,0.759765625,0.5235355,0.32492422730564546
143,0.3049916,-0.12713253,0.28266668,0.44213396,0.33349609375,0.47376633,0.22252914624101547
144,0.23938164,-0.05553201,0.073758245,0.3498957,0.158203125,0.22193548,0.1638476486036817
145,1.0,1.0,1.0,1.0,1.0,1.0,1.0
146,0.34490597,-0.050486803,0.5383865,0.87774354,0.7080078125,0.7019586,0.39530282061623434
147,0.32574642,0.0058476627,0.21449953,0.7012483,0.46826171875,0.69193625,0.227264370354113
148,0.8771242,0.6928104,1.0,0.9921685,0.97412109375,0.9873579,0.9865147535237784
149,0.25918213,-0.18179905,0.2707186,0.6046691,0.53173828125,0.581097,0.27829539332625985
150,0.36245066,-0.01865685,0.44795656,0.5821384,0.51513671875,0.45695662,0.28875101934268455
151,0.32683885,-0.094662726,0.45576933,0.8389305,0.70751953125,0.7320412,0.38747129507379285
152,0.32475168,-0.0422675,0.2634061,0.7780456,0.75,0.57926446,0.3822129048399209
153,0.9918734,0.99121094,0.99512565,0.9504382,0.83251953125,0.7340523,0.569089619233768
154,0.50674534,1.0,0.32831722,1.0,1.0,1.0,0.9999999990993076
155,0.4101025,0.41561893,0.3468932,0.63892734,0.5283203125,0.57366776,0.2708158711965591
156,0.35761148,-0.0096538365,0.47369543,0.86435527,0.69921875,0.7627998,0.42339251225137775
157,0.3613251,-0.020019382,0.3565364,0.6644723,0.5751953125,0.396793,0.32022179978561144
158,0.35306442,-0.040281117,0.4426224,0.8326794,0.6708984375,0.7404148,0.38348985069352515
159,0.4749043,0.2553785,0.43088317,0.8758713,0.78857421875,0.5365893,0.3454525656717724
160,0.35886008,-0.009675205,0.41431284,0.848416,0.66845703125,0.73485094,0.3600348075808004
161,0.53282857,0.41772142,0.37598687,0.879951,0.7841796875,0.46033207,0.36847425315421395
162,0.53805673,0.4230888,0.36500922,0.87857187,0.802734375,0.47826174,0.3540340721576638
163,0.3956195,0.39661548,0.2768508,0.7113946,0.66015625,0.49622363,0.34824524798748363
164,0.21032402,-0.092476785,0.11373502,0.36335248,0.1240234375,0.40028068,0.06554450924537286
165,0.28125727,-0.13328034,0.25294048,0.6095063,0.52880859375,0.5457773,0.28763003787511576
166,0.49937543,0.3182774,0.5189421,0.87586755,0.80029296875,0.7554107,0.39330039221984625
167,0.30001384,-0.008728683,0.17412409,0.6454957,0.3564453125,0.6881236,0.1417607179456104
168,0.99830043,0.99977314,0.9999008,0.9979358,0.96875,0.9960235,0.9648406308450068
169,0.5103307,1.0,0.33987996,1.0,1.0,1.0,0.9999999989403617
170,0.36519685,-0.009875506,0.42748672,0.57560533,0.51220703125,0.39443108,0.2948609791452771
171,0.5444932,0.43637097,0.47223458,0.8800157,0.798828125,0.43216813,0.39986036007039727
172,0.54148436,0.43208152,0.34478632,0.8783345,0.7822265625,0.51085556,0.35496505684855
173,0.36516634,-0.014525503,0.41371945,0.854938,0.6826171875,0.8210622,0.37674037163580176
174,0.99746525,0.9998952,0.9978874,0.9901142,0.92431640625,0.98028636,0.8495857454834088
175,0.47616556,0.277945,0.36656493,0.82322294,0.69775390625,0.59574157,0.19813668344072197
176,0.29233798,0.037005156,0.13853315,0.45977056,0.16162109375,0.49915716,0.059052325814413796
177,0.36058518,-0.020573378,0.42377308,0.5768956,0.5029296875,0.4699542,0.286914747525265
178,0.5393631,0.42325678,0.45838916,0.876656,0.78564453125,0.49295214,0.3744130561791974
179,0.3513668,0.037147522,0.2348814,0.8190457,0.68505859375,0.6459092,0.38363547281422256
180,0.5456516,0.43128115,0.4886765,0.8629206,0.78271484375,0.6230031,0.30763278826997137
181,0.7899457,0.636227,0.7392602,0.7234007,0.615234375,0.6110303,0.31443152935411867
182,0.99858713,0.99837506,0.9992163,0.975042,0.8818359375,0.8875491,0.6314617744700362
183,0.25107008,-0.14738601,0.199213,0.667127,0.37744140625,0.7082411,0.19871592093483756
184,0.2891958,-0.084917754,0.23226222,0.70124185,0.47412109375,0.72004884,0.24348040624625386
185,0.9966961,0.9943484,0.9994102,0.97369945,0.8818359375,0.7615854,0.6349176237012855
186,0.24789648,-0.004105687,0.09596175,0.37493613,0.14111328125,0.24644393,0.10332284462196696
187,0.46960583,0.24175143,0.4502415,0.7927294,0.798828125,0.389605,0.08288210162986472
